"ï»¿""Latest: Time (s)"""	Latest: Potential (V)
38.8	4.003357753
38.9	3.972832723
39	4.006410256
39.1	3.93009768
39.2	4.009462759
39.3	3.957570208
39.4	3.96978022
39.5	3.960622711
39.6	3.991147741
39.7	3.951465201
39.8	3.96978022
39.9	3.945360195
40	3.966727717
40.1	3.954517705
40.2	3.951465201
40.3	3.920940171
40.4	3.960622711
40.5	4.027777778
40.6	3.939255189
40.7	3.927045177
40.8	3.957570208
40.9	3.981990232
41	3.954517705
41.1	3.933150183
41.2	3.997252747
41.3	3.988095238
41.4	3.981990232
41.5	3.923992674
41.6	3.972832723
41.7	4.00030525
41.8	3.939255189
41.9	3.96978022
42	3.975885226
42.1	3.936202686
42.2	3.972832723
42.3	3.917887668
42.4	3.963675214
42.5	3.93009768
42.6	3.994200244
42.7	4.006410256
42.8	3.96978022
42.9	3.923992674
43	3.914835165
43.1	4.003357753
43.2	3.985042735
43.3	3.975885226
43.4	3.914835165
43.5	3.966727717
43.6	4.003357753
43.7	3.988095238
43.8	3.975885226
43.9	3.96978022
44	3.963675214
44.1	3.975885226
44.2	3.985042735
44.3	3.948412698
44.4	3.936202686
44.5	3.988095238
44.6	3.994200244
44.7	4.033882784
44.8	3.923992674
44.9	3.96978022
45	3.966727717
45.1	3.96978022
45.2	3.948412698
45.3	3.948412698
45.4	3.93009768
45.5	3.96978022
45.6	3.917887668
45.7	3.991147741
45.8	3.942307692
45.9	3.954517705
46	3.994200244
46.1	3.951465201
46.2	3.93009768
46.3	3.972832723
46.4	3.981990232
46.5	3.920940171
46.6	3.945360195
46.7	3.939255189
46.8	3.957570208
46.9	3.957570208
47	3.966727717
47.1	3.957570208
47.2	3.911782662
47.3	3.985042735
47.4	3.997252747
47.5	4.030830281
47.6	3.923992674
